Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Energy,Africa,India,2022,104.68,214.23,1.68,49.24,17.75,12.07,827.24,7319.81,24.07,13.32,0.96,-2.1
Mining,Africa,India,2000,269.68,979.11,58.22,192.71,10,10.84,568.73,4391.22,72.1,50.25,8.48,1.96
Mining,Africa,India,2007,170.23,387.54,44.68,117.15,11.88,4.48,661.27,8387.31,52.28,98.03,7.55,0.58
Energy,Africa,India,2008,195.83,137.3,67.52,77.45,8.64,6.56,813.92,21638.64,46.84,93.61,-5.28,-4.03
Construction,Africa,India,2009,76.31,764.1,1.17,82.15,31.85,11.1,1310.28,20107.71,41.39,51.85,13.87,-0.61
Construction,Africa,India,2006,112.97,123.31,49.03,89.47,47.86,11.05,850.98,12051.59,20.11,54.33,9.55,4.68
Manufacturing,Africa,India,2008,219.22,726.49,8.58,104.1,46.68,6.8,522.07,6256.96,47.7,15.16,12.83,-4.91
Energy,Africa,India,2015,229.23,682.24,6.39,59.19,41.61,17.71,75.56,19312.71,56.26,74.17,-2.85,2.25
Manufacturing,Africa,India,2004,119.25,245.71,63.95,76.64,7.08,11.34,533.06,2372.04,64.37,0.8,1.74,9.98
Mining,Africa,India,2006,8.73,496.78,70.3,45.12,3.92,9.74,1086.96,22754.83,24.27,8.78,7.72,5.52
Energy,Africa,India,2001,127.62,777.98,49.54,3.98,12.93,18.38,1183.13,2484.26,91.34,77.9,1.86,-3.74
Manufacturing,Africa,India,2015,128.64,313.42,94.47,154.7,41,9.03,1323.42,5794.04,81.49,86.77,-5.56,-1.46
Energy,Africa,India,2005,235,784.71,48.01,97.97,39.18,9.37,985.8,1640.36,27.55,29.07,0.1,7.27
Energy,Africa,India,2007,91.54,901.64,60.79,62.82,35.32,8.28,630.35,13592.62,24.11,1.42,8.93,6.78
Energy,Africa,India,2006,117.06,211.51,79.55,116.39,11.26,15.75,872.47,4750.87,21.51,61.35,9.67,6.13
Manufacturing,Africa,India,2011,282.62,960.24,22.86,119.79,27.38,9.45,1.57,14406.21,87.68,29.83,4.09,4.22
Manufacturing,Africa,India,2016,177.01,14.2,58.66,1.93,16.71,2.28,451.43,11229.11,92.98,33.78,0.95,9.07
Manufacturing,Africa,India,2005,25.57,417.96,86.75,87.98,23.33,1.74,616.8,12833,32.3,9.34,3.77,4.47
Mining,Africa,India,2003,173.49,428.23,33.46,139.68,13.05,2.63,427.34,13746.87,27.4,31.99,-0.27,1.81
Energy,Africa,India,2015,140.07,226.93,42.86,172.26,11.37,12.95,1146.44,11018.07,80.7,8.25,-3.6,9.89
Mining,Africa,India,2016,169.97,515.68,39.3,167.06,42.94,18.11,1016.96,1332.83,87.74,80.58,7.79,5.45
Energy,Africa,India,2012,104.95,127.52,23.61,33.65,35.1,19.25,418.58,14788.15,85.78,46.71,0.3,-0.47
Mining,Africa,India,2000,180.31,67.28,96.01,148.45,35.53,17.47,514.47,6946.3,52.59,44.41,3.93,-3.52
Construction,Africa,India,2008,48.41,910.85,30.35,48.81,28.34,15.84,324.32,7146.47,46.55,17.9,-3.47,-0.9
Construction,Africa,India,2021,245.31,380.55,95.74,120.88,45.05,0.86,1435.42,5422.27,97.24,16.84,1.2,8.59
Manufacturing,Africa,India,2009,188.62,317.35,3.34,160.76,35.12,9.92,803.03,9821.1,28.23,56.84,-4,1.56
Manufacturing,Africa,India,2004,282.3,581.43,43.53,95.02,34.15,15.63,751.2,9332.21,78.35,50.21,-5.85,-1.87
Manufacturing,Africa,India,2015,16.82,825.08,59.8,21.34,15.66,5.66,970.61,6498.76,68.02,42.87,6.84,-3.3
Energy,Africa,India,2013,62.74,58.41,89.37,199.9,17.09,7.14,426.34,10421.76,31.19,75.71,6.3,-4.93
Manufacturing,Africa,India,2001,272.99,780.12,14.63,163,16.29,11.58,299.7,20919.31,75.98,28.51,12.2,-4.91
Construction,Africa,India,2010,232.39,315.7,65.69,16.3,27.66,13.14,1393.95,23677.53,24.38,78.99,-0.16,9.17
Manufacturing,Africa,India,2010,66.79,119.14,46.06,120.29,31.63,12.68,609.24,9857.75,37.45,46.16,0.49,5.35
Construction,Africa,India,2022,14.98,123.77,71.3,19.34,31.73,4.36,1094.16,12402.45,84.98,60.96,-3.2,-4.26
Energy,Africa,India,2021,209.25,511.97,7.84,79.32,12.29,15.11,1473.82,19634.76,94.94,43.49,3.21,-2.19
Manufacturing,Africa,India,2001,231.58,47.23,61.6,192.78,26.52,9.87,766.29,8005.28,34.06,47.21,7.02,-0.41
Mining,Africa,India,2017,38.98,621.39,29.31,119.55,28.66,5.13,955.43,7173.02,38.33,1.31,4.17,-4.66
Manufacturing,Africa,India,2011,100.13,16.14,14.77,196.29,0.39,18.65,702.6,9197.17,33.47,77.37,-9.65,8.57
Construction,Africa,India,2012,61.52,328.35,97.77,26.88,19.54,16.94,1025.08,105.43,26.67,26.89,7.08,7.08
Construction,Africa,India,2019,299.99,713.78,10.97,45.29,44.09,10.37,1255.9,4134.18,33.58,76.94,7.38,8.41
Manufacturing,Africa,India,2002,177.87,14.98,59.64,7,43.71,5.85,269.88,18600.53,24.55,24.17,12.51,-1.86
Energy,Africa,India,2014,195.02,775.18,15.08,128.47,2.06,10.57,273.69,15844.08,74.08,29.2,9.86,7.87
Mining,Africa,India,2012,29.35,405.28,46.03,153.7,47.75,6.64,207.16,1251.4,74.03,53.56,3.69,7.88
Construction,Africa,India,2008,233.23,655.01,93.56,71.41,49.4,10.28,1106.65,23012.21,71.79,56.24,9.23,6.34
Mining,Africa,India,2017,46.99,198.2,8.46,178.1,22.82,12.3,68.87,6028.22,68.47,0.68,0.28,-1.01
Mining,Africa,India,2010,47.62,986.38,12.08,139.39,16.08,8.68,69.24,22200.11,56.68,58.75,-1.74,9.45
Mining,Africa,India,2022,143.35,805.82,74.12,64.7,0.56,0.17,405.58,3825.25,55.82,32.09,2.81,5.6
Energy,Africa,India,2016,208.87,351.08,98.6,123.84,22.04,17.2,572.81,23308.67,55.6,48.73,6.37,3.98
Manufacturing,Africa,India,2010,29.51,860.08,22.89,57.37,17.37,0.99,368.49,2238.98,65.79,2.9,-7.94,7.12
Mining,Africa,India,2014,199.51,450.7,60.5,12.82,47.66,8.86,14.5,19101.69,89.66,85.2,-9.72,8.07
Energy,Africa,India,2009,29.07,9.6,92.7,86.09,22.82,6.42,1255.69,4949.3,37.58,86.28,3.62,1.95
Energy,Africa,India,2008,208.14,859.97,80.21,41.45,46.56,10.91,125.7,17007.3,51.82,80.76,9.56,9.39
Manufacturing,Africa,India,2011,46.17,977.29,81.05,144.57,6.16,7.37,279.68,15374.08,36.12,4.84,-9.06,6.79
Construction,Africa,India,2020,219.07,592.04,16.3,15.4,24.57,19.59,1113.41,20365.5,63.56,8.87,1.43,4.59
Energy,Africa,India,2009,64.1,547.41,40.45,29.02,8.91,17.48,1103.13,1677.2,48.7,66.09,9.18,-0.6
Manufacturing,Africa,India,2019,182.91,99.07,27.12,121.89,48.17,11,1038.53,20452.55,54.75,52.26,4.14,-1.4
Energy,Africa,India,2017,85.75,776.86,89.16,149.87,32.37,8.2,1089.94,11199.6,63.14,61.83,1.92,-4.89
Manufacturing,Africa,India,2004,26.19,978.99,60,72.64,29.58,18.54,725.9,1576,83.06,24.78,8.69,-1.56
Manufacturing,Africa,India,2003,257.81,625.1,24.9,43.91,27.85,19.06,81.58,15691.19,41.23,7.73,12.86,2.94
Energy,Africa,India,2021,291.06,358.74,67.8,151.06,38.1,3.7,479.36,16454.86,79.49,8.9,-0.81,4.59
Energy,Africa,India,2008,29.66,138.64,9.7,27.26,22.72,6.78,676.05,24799.93,61.45,61.41,-5.82,5.39
Construction,Africa,India,2010,209.59,482.64,59.77,129.62,45.66,18.62,298.52,3999.56,79.7,20.44,4.08,8.48
Construction,Africa,India,2006,74.21,363.84,7.83,32.26,16.85,17.38,1454.57,405.26,32.57,79.26,-3.6,-1.36
Construction,Africa,India,2003,138.86,621.77,88.73,138.27,16.3,6.9,4.24,14685.61,69.12,87.02,-2.28,0.07
Energy,Africa,India,2011,95.39,23.48,86.21,172.25,19.55,19.97,1041.8,20699.9,37.99,39.43,-7.09,8.74
Mining,Africa,India,2011,286.55,576.86,50.05,25.77,10.05,7.02,331.69,10759.75,55.74,29.1,4.77,8.92
Manufacturing,Africa,India,2008,217.23,417.92,29.84,145.05,15.54,10.34,583.42,16924.97,83.28,92.84,9.54,3.17
Manufacturing,Africa,India,2011,272.14,344.35,99.09,15.24,44.02,13.8,946.29,8912.22,66.71,91.34,0.26,-1.45
Manufacturing,Africa,India,2006,151.13,184.88,93.53,137.98,6.27,9.04,1208.02,272.21,55.23,94.03,-4.38,2.73
Manufacturing,Africa,India,2005,57.64,740.22,86.98,12.08,18.41,19.05,1250.78,21439.12,69.36,83.49,11.84,7.87
Mining,Africa,India,2000,144.06,69.48,36.86,80.23,12.9,10.63,704.08,8696.67,68.24,13.47,-3.83,-1.86
Mining,Africa,India,2002,55.33,99.89,86.97,132.87,1.25,19.45,38.86,5105.41,38.98,35.86,2.02,1.16
Energy,Africa,India,2009,92.11,713.9,91.31,67.63,12.89,15.9,211.82,5411.89,65.81,20.83,-2.7,9.96
Energy,Africa,India,2005,44.18,210.3,89.46,102.43,40.24,1.86,1396.87,12487.98,94.03,28.61,-5.94,7.36
Mining,Africa,India,2016,222.66,881.42,8.19,1.71,7.24,12.46,356.97,5522.7,68.06,56.57,13.95,4.87
Manufacturing,Africa,India,2008,209.97,133.84,36.24,147.7,14.66,3.17,1318.66,7132.99,47.7,44.04,5.97,5.88
Construction,Africa,India,2010,189.96,481.42,67.41,37.05,43.81,12.35,1246.68,11981.19,61.33,95.4,3.97,-1.32
Construction,Africa,India,2010,255.61,689.34,49.49,167.27,21.57,2.03,1093.06,7284.21,71.97,20.15,-7,9.55
Manufacturing,Africa,India,2010,242.88,920.13,70.73,172.94,46.38,1.5,829.5,18400.49,56.46,58.34,10.62,8.94
Energy,Africa,India,2001,278.56,329.8,30.5,144.63,10.76,19.69,1137.11,2646.15,27.75,50.57,13.99,-3.33
Mining,Africa,India,2010,130.93,300.59,96.09,90.95,11.05,7.16,460.5,17326.12,28.79,30.88,9.21,7.57
Mining,Africa,India,2016,156.21,102.37,13.35,16.41,35.67,14.23,432.92,24707.31,85.14,74.51,8.97,-1.19
Mining,Africa,India,2018,161.64,54.89,32.8,92.47,3.42,0.1,413.94,16698.56,26.19,3.27,5.62,-4.85
Manufacturing,Africa,India,2011,164.04,812.34,44.44,55.87,29.71,9.83,28.03,883.02,24.33,9.55,-0.69,4.85
Construction,Africa,India,2006,14.45,205.8,74.63,48.94,2.13,7.06,340.09,23677.98,59.62,79.7,0.98,3.64
Construction,Africa,India,2006,287.36,105.9,48.16,191.41,13.98,8.7,1394.24,5411.23,76.83,88.39,-2.38,-4.78
Construction,Africa,India,2000,104.73,535.92,14.06,13.8,29.39,5.59,429.6,13701.98,55.16,69.11,9.71,9.27
Construction,Africa,India,2018,51.54,70.82,10.47,31.79,45.46,15.42,686.08,16266.73,63.45,94.21,13.99,5.05
Manufacturing,Africa,India,2017,5.08,6.97,99.8,79.91,19.91,14.27,1021.85,18015.95,59.05,9.38,-2.68,-2.56
Energy,Africa,India,2015,256.17,354.16,50.98,160.24,46.55,18.02,758.76,6661.96,67.03,88.51,-8.64,1.43
Energy,Africa,India,2004,128.2,427.59,77.23,22.96,38.39,19.95,1244.59,24540.7,48.55,61.15,8.2,6.74
Energy,Africa,India,2011,192.2,378.21,44.29,19.94,34.78,0.23,127,18041.19,56.84,3.23,3.96,7.49
Manufacturing,Africa,India,2017,201.54,78.96,12.99,134.31,9.44,13.64,673.59,8283.27,32.44,17.85,5.02,7.25
Manufacturing,Africa,India,2001,78.99,130.24,0.67,35.67,17.66,15.47,171.92,8665.71,84.65,96.61,-7.68,-4.72
Mining,Africa,India,2009,241.08,73,67.67,116.44,45.25,6.35,834.37,22613.55,92.7,74.95,1.84,-1.97
Energy,Africa,India,2011,185.71,535.42,42.09,183.36,32.61,5.51,995.25,12429.53,94.86,90.42,11.61,4.63
Manufacturing,Africa,India,2007,187.12,452.64,8.95,161.04,28.8,5.27,1200.7,5072.91,88.87,14.47,12.27,7.34
Mining,Africa,India,2011,129.6,933.72,22.74,74.28,30.59,4.98,792.98,18477.14,48.71,98.79,10.64,-2.11
Manufacturing,Africa,India,2002,3.99,154.57,89.51,140.72,18.91,4.86,512.43,13752.3,25.15,7.03,12.63,8.52
Construction,Africa,India,2006,72.11,347.11,32.95,75.83,6.68,1.26,513.73,7662.1,83.87,78.67,-1.84,3.19
Manufacturing,Africa,India,2003,167.62,335.89,99.3,63.79,13.2,9.56,1081.37,5692.98,30.21,97.11,-7.58,9.75
Manufacturing,Africa,India,2005,14.28,681.74,72.75,72.2,10.05,19.79,292.36,24970.3,25.66,15.46,13.87,1.8
Mining,Africa,India,2011,208.91,846.18,29.18,21.06,16.1,5.19,422.64,4659.26,63.17,77.12,12.49,4.16
Mining,Africa,India,2010,287.63,610.36,78.94,10.5,48.05,4.2,1058.79,5728.9,63.21,83.97,2.16,9.4
Construction,Africa,India,2016,298.52,801.74,50.81,0.47,32.02,11.49,98.15,10031.51,74.01,22.25,-0.29,3.9
Construction,Africa,India,2013,198.36,695.04,53.22,83.34,37.02,19.53,374.99,21599.9,93.65,31.02,12.43,4.52
Construction,Africa,India,2013,144.14,50.94,71.4,82.23,15.94,11.73,1162.31,15242.5,72.45,62.93,2.47,2.25
Manufacturing,Africa,India,2003,189.18,453.2,6.87,83.09,14.03,12.85,983.89,12132.86,79.35,57.01,13.5,8.77
Construction,Africa,India,2021,62.09,4.45,89.66,48.09,28.26,16.24,592.97,16315.34,97.78,74.65,5.9,-2.81
Energy,Africa,India,2010,89.75,448.48,61.69,26.8,41.7,1.58,422.3,21878.51,79.18,80.16,14.11,1.63
Manufacturing,Africa,India,2016,239.54,182.43,26.19,120.87,40.54,15.68,548.17,7851.75,45.84,78.24,6.32,-4.24
Energy,Africa,India,2021,196.97,548.79,19.9,153.93,31.4,0.8,62.57,24132.3,67.88,16.16,6.12,2.01
Manufacturing,Africa,India,2012,72.22,879.88,5.73,167.08,6.91,11.41,442.63,14563.63,68.78,54.1,0.89,8.2
Manufacturing,Africa,India,2011,186.97,895.42,72.2,1.01,21.66,3.07,526.99,14588.41,95.68,6.76,3.44,2.53
Construction,Africa,India,2003,106.02,909.7,20.73,21.37,34.13,12.27,1285.43,10992.61,65.08,94.28,-5.83,3.33
Manufacturing,Africa,India,2009,246.73,192.91,78.94,69.56,12.17,14.62,680.19,14472.88,39.77,49.84,5.3,0.13
Construction,Africa,India,2010,256.97,101.33,24.97,43.67,36.84,17.7,88.66,18728.42,81.85,97.26,-1.67,8.74
Construction,Africa,India,2010,157.32,898.01,12.96,138.56,20.05,4.59,866.57,7895.39,93.11,51.73,1.81,9.87
Mining,Africa,India,2009,253.69,142.53,48.84,152.57,45.36,2.53,377.57,9036.47,21.82,3.84,1.81,8.82
Mining,Africa,India,2003,144.9,125.77,12.76,193.74,22.97,3.26,1202.67,15181.94,70.54,96.53,1.42,0.69
Construction,Africa,India,2002,130.49,476.1,42.44,78.76,11.53,2.69,585.67,7983.63,72.48,47.28,-0.03,8.16
Construction,Africa,India,2004,282.84,362.91,85.71,73.27,21.32,6.71,629.55,19319.63,89.18,79.43,7.92,7.84
Mining,Africa,India,2016,7.03,858.11,91.47,182.36,20.41,15.06,1117.44,11428.76,45.66,78.66,11.37,-2.84
Construction,Africa,India,2002,247.87,223.96,9.49,177.49,44.6,0.61,1291.84,4882.58,79.84,95,11.45,9.31
Energy,Africa,India,2010,260.51,421.91,80.66,37.08,27.42,3.11,1028.12,7938.75,33.24,89.24,7.54,1.79
Construction,Africa,India,2002,267.01,327.87,80.93,97.52,41.7,13.67,1138.04,8556.42,63.6,45.66,-7.55,-0.47
Manufacturing,Africa,India,2003,244.75,892.17,45,21.08,40.69,17.28,167.5,16241.21,94.51,17.24,1.29,-1.1
Construction,Africa,India,2022,53.29,893.67,64.89,64.27,41.96,13.03,203.58,5103.07,71.56,92.01,3.71,-2.25
Manufacturing,Africa,India,2018,255.75,840.37,71.98,42.04,43.47,10.77,1148.4,8217.52,39.31,23.11,12.67,-4.63
Construction,Africa,India,2018,95.66,693.3,92.36,57.28,6.75,0.29,1301.5,11002.93,72.48,57.82,-4.59,8.63
Manufacturing,Africa,India,2020,265.96,202.22,37.01,28.68,23.94,7.43,1293.17,23591.05,40.93,13.34,10.41,6.89
Construction,Africa,India,2011,147.5,186.1,58.16,87.77,10.2,4.48,137.17,11574.22,52.96,13.99,2.24,0.18
Construction,Africa,India,2007,224.21,780.87,73.13,6.95,21.56,0.87,1252.75,24962.58,50.01,82.88,-1.88,2.2
Energy,Africa,India,2014,211.37,905.85,37.4,174.45,35.22,2.61,603.11,15813.29,66.31,17.01,10.13,2.66
Energy,Africa,India,2003,82.78,1.4,94.72,29.93,45.78,16.41,562.83,19499.14,65.42,86.01,8.25,-3.79
Mining,Africa,India,2000,273.18,480.93,43.98,68.5,43.08,1.21,609.12,5386.89,82.65,56.71,-0.76,6.11
Mining,Africa,India,2016,258.6,659.72,47.91,111.15,38.13,8.84,838.82,22469.97,47.27,13.84,-8.98,-2.49
Manufacturing,Africa,India,2022,135.41,87.94,31.87,174.29,18.84,19.35,404.99,16330.93,92.96,80.13,-1.33,0.67
Manufacturing,Africa,India,2011,131.28,631.35,60.45,27.63,49.13,3.47,1158.42,4996.9,41.91,33.28,14.69,3.01
Energy,Africa,India,2018,135.36,439.09,50.9,184.32,41.69,6.44,1131.57,3488.87,79.31,44.5,9.56,9.64
Manufacturing,Africa,India,2022,205.08,868.57,77.56,153.64,45.9,8.56,852.5,21345.48,45.19,77.4,-3.69,-4.93
Energy,Africa,India,2005,249.56,857.74,22.25,192.84,11.1,8.98,804.16,9758.57,88.65,65.34,5.47,1.22
Manufacturing,Africa,India,2012,179.34,700.73,99.01,74.01,8.37,5.55,831.41,9489.02,72.4,61.21,1.03,-3.09
Mining,Africa,India,2015,114.58,549.65,71.45,108.43,30,11.75,413.75,13063.11,56.78,63.6,4.82,-4.04
Construction,Africa,India,2002,31.45,591.11,96.79,32.05,28.31,18.49,1427.85,1221.11,26.27,16.1,9.79,-2.24
Energy,Africa,India,2000,198.46,751.43,27.17,170.07,7.89,11.51,202.22,22522.18,97.91,25.53,-3.85,4.31
Mining,Africa,India,2000,4.66,432.94,31.12,33.18,42.8,15.16,708.94,5505.88,25.61,70.7,-0.36,-1.36
