Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Construction,Europe,India,2022,186.92,858.51,9.04,83.32,12.48,1.4,361.32,14178.38,23.57,35.55,14.8,9.46
Construction,Europe,India,2022,45.08,516.59,79.9,158.31,24.47,12.23,72.29,9399.32,44.13,49.93,5.74,0.84
Manufacturing,North America,India,2022,164.83,419.16,34.43,52.77,28.05,4.39,1412.77,18307.27,24.28,89.58,-9.17,7.67
Mining,South America,India,2022,8.8,766.55,5.77,182.65,28.08,16.64,890.89,24623.45,20.23,42.27,12.79,-3.32
Mining,North America,India,2022,33.16,468.58,19.63,2.12,39.16,19.3,1310.33,23042.44,81.45,93.18,5.21,8.78
Mining,Europe,India,2022,38.69,437.35,34.11,8.37,46.67,19.38,362.3,18999.43,80.45,71.86,-2.74,6.36
Construction,North America,India,2022,126.9,542.76,36.37,191.49,0.81,18.35,124.15,22.97,45.51,65.64,-9.71,-0.86
Energy,Oceania,India,2022,281.65,353.8,29.85,72.01,32.06,10.69,1102.71,20052.21,85.94,63.39,1.81,-4.52
Construction,North America,India,2022,4.26,131.69,64.88,145.06,11.27,16.29,127.83,19521.46,63.51,79.46,8.71,-1.5
Energy,Oceania,India,2022,190.37,48.07,24.93,156.29,37.04,0.29,1271.88,1028.21,44.97,64.14,9.7,-3.92
Construction,Asia,India,2022,265.75,152.51,90.46,29.66,1.57,8.17,1403.07,21351.49,35.03,59.25,12.85,3.3
Energy,South America,India,2022,154.81,3.37,96.0,82.23,33.65,11.85,1394.45,16757.34,90.15,89.61,7.52,-3.8
Manufacturing,Europe,India,2022,291.63,57.57,94.66,154.96,0.39,18.59,441.54,6239.65,71.49,29.03,6.68,8.03
Energy,Asia,India,2022,6.29,176.71,22.79,129.0,2.68,12.66,183.01,10793.24,47.39,70.76,12.01,-2.0
Construction,Africa,India,2022,53.29,893.67,64.89,64.27,41.96,13.03,203.58,5103.07,71.56,92.01,3.71,-2.25
Manufacturing,South America,India,2022,190.11,293.51,52.81,172.81,43.49,7.63,1068.54,7515.49,44.77,93.28,7.74,-3.84
Manufacturing,Oceania,India,2022,265.16,547.82,83.92,81.4,11.36,16.39,175.49,24040.39,76.54,96.51,-6.87,8.77
Manufacturing,Africa,India,2022,135.41,87.94,31.87,174.29,18.84,19.35,404.99,16330.93,92.96,80.13,-1.33,0.67
Energy,Oceania,India,2022,248.86,990.98,56.51,83.77,16.48,7.79,425.12,24143.29,99.46,40.56,-5.61,1.8
Manufacturing,Africa,India,2022,205.08,868.57,77.56,153.64,45.9,8.56,852.5,21345.48,45.19,77.4,-3.69,-4.93
Construction,Europe,India,2022,262.53,31.39,95.71,42.92,6.14,15.52,365.43,21559.78,83.13,13.66,7.65,-3.38
Construction,South America,India,2022,68.69,979.78,77.02,4.42,42.29,7.44,720.13,11725.24,34.99,35.69,-8.49,7.75
Manufacturing,Africa,India,2022,286.43,942.78,96.34,82.36,26.38,6.14,1326.25,373.69,64.23,32.58,3.43,1.53
Mining,South America,India,2022,32.2,232.79,97.4,159.87,39.33,15.76,1108.01,8637.63,74.99,5.4,2.96,-3.88
Mining,Asia,India,2022,86.53,983.56,62.23,28.82,31.25,5.45,1340.94,12414.79,86.31,56.63,10.1,-3.78
Mining,Africa,India,2022,40.79,780.69,65.02,81.15,13.95,17.14,484.33,9101.47,68.24,70.52,9.74,-1.5
Mining,Asia,India,2022,241.9,995.27,34.48,98.81,9.87,2.36,947.24,22663.09,90.71,41.84,7.81,3.46
Energy,Africa,India,2022,252.85,406.61,1.36,60.15,25.68,15.16,767.6,18974.25,63.24,59.76,-3.19,-2.13
Energy,Europe,India,2022,101.67,366.13,90.39,100.92,10.44,7.01,885.55,10363.22,32.32,47.18,-3.3,-2.07
Manufacturing,Europe,India,2022,254.98,795.55,50.51,55.41,27.23,17.71,428.47,13850.14,26.38,29.69,-9.24,5.16
Construction,Africa,India,2022,103.34,318.21,39.13,45.04,31.48,4.49,572.31,10411.32,50.63,52.98,8.5,4.73
Mining,Oceania,India,2022,227.86,748.35,27.6,196.84,16.94,8.36,472.74,23586.54,95.49,78.82,6.81,4.03
Energy,North America,India,2022,187.47,23.06,55.63,182.67,30.31,12.99,374.39,3549.06,74.02,52.93,2.5,7.62
Mining,Africa,India,2022,258.1,713.13,13.8,176.68,25.58,9.07,179.65,20047.2,46.36,57.29,10.97,6.08
Manufacturing,Oceania,India,2022,147.59,863.94,90.72,111.85,18.93,15.72,1034.9,7260.66,56.37,74.13,9.64,7.81
Construction,Asia,India,2022,5.16,583.32,4.12,117.28,15.8,12.56,1265.33,18004.81,24.08,0.85,8.01,-4.47
Manufacturing,Oceania,India,2022,234.23,543.26,43.41,11.19,25.6,11.15,670.06,1176.66,91.07,90.78,-1.65,-4.87
Manufacturing,Asia,India,2022,277.25,927.91,43.12,149.76,24.6,15.25,897.83,1460.87,97.28,57.19,-6.95,-1.52
Mining,Europe,India,2022,154.7,882.8,36.76,150.21,22.51,2.82,316.49,16462.78,77.33,49.84,-5.85,-0.78
Mining,North America,India,2022,3.0,644.35,27.14,22.25,29.42,10.71,140.17,14867.41,56.93,48.08,10.06,7.51
Mining,South America,India,2022,266.02,243.68,9.3,133.93,47.71,8.38,270.26,14439.32,88.67,11.76,-8.85,6.77
Manufacturing,South America,India,2022,17.56,401.51,63.84,180.2,17.2,2.44,241.47,24394.29,60.95,51.67,-3.97,5.67
Energy,South America,India,2022,285.7,452.94,84.6,149.09,14.77,6.08,885.58,16664.86,47.88,15.37,4.67,7.41
Manufacturing,Asia,India,2022,194.15,910.96,95.54,18.85,35.26,2.2,113.4,2791.47,41.56,98.24,7.0,1.47
Mining,South America,India,2022,67.01,175.98,12.19,83.9,35.57,9.33,657.61,10198.97,32.92,77.31,-4.6,6.59
Construction,Europe,India,2022,48.25,74.96,25.41,124.02,3.13,19.54,134.28,10087.52,53.31,9.96,3.15,0.11
Mining,Oceania,India,2022,40.72,284.74,45.28,150.27,39.82,3.52,1062.61,3516.44,36.8,68.94,13.43,2.72
Mining,Europe,India,2022,29.98,652.63,39.86,175.86,10.58,18.08,1237.97,8674.98,85.38,66.44,-0.99,-0.55
Construction,Asia,India,2022,118.47,345.18,40.74,95.62,13.42,16.85,64.3,14063.6,29.55,58.57,5.29,9.74
Energy,Europe,India,2022,182.42,930.05,16.44,193.0,12.24,6.41,1165.0,1313.17,21.63,62.98,2.96,5.02
Manufacturing,Europe,India,2022,26.71,275.47,85.97,19.29,22.93,5.47,1143.54,20236.48,86.7,63.89,4.75,7.37
Energy,Oceania,India,2022,4.27,951.74,13.57,22.75,4.93,2.42,710.56,14313.76,27.09,16.91,14.4,-0.58
Energy,North America,India,2022,177.52,366.15,14.86,169.05,35.4,8.91,191.38,11479.04,56.2,31.61,-9.25,-3.82
Energy,Africa,India,2022,218.04,30.12,5.64,135.48,23.31,17.43,543.85,23436.8,87.24,79.16,-1.47,-3.9
Manufacturing,Asia,India,2022,10.9,31.93,16.59,192.51,26.89,10.49,115.57,545.06,36.08,95.26,-1.52,9.16
Mining,Asia,India,2022,64.8,569.1,13.41,68.39,2.54,6.43,408.75,14246.88,54.71,50.18,8.66,4.45
Manufacturing,Oceania,India,2022,223.97,607.7,32.39,71.36,29.83,13.2,59.31,16304.14,44.19,12.98,7.74,-0.16
Construction,Asia,India,2022,13.75,661.19,64.34,82.56,14.89,2.7,19.05,9106.39,41.34,37.76,-1.26,-3.19
Energy,North America,India,2022,194.11,428.62,21.31,199.79,7.58,5.99,270.91,6313.83,39.62,82.53,-0.09,0.87
Energy,Europe,India,2022,56.66,783.93,43.66,163.26,41.9,15.17,1431.87,14670.04,54.92,89.47,8.17,6.34
Mining,North America,India,2022,89.23,240.24,1.53,90.56,6.74,3.88,1062.44,5490.6,49.1,49.76,-3.5,-2.91
Energy,Europe,India,2022,222.21,609.61,86.8,60.71,10.84,14.28,768.25,5323.86,46.75,40.66,6.96,2.33
Construction,Oceania,India,2022,160.4,498.54,99.24,50.12,18.95,1.9,74.61,4717.75,22.27,63.49,1.46,7.68
Energy,Europe,India,2022,7.27,376.3,28.13,40.8,0.65,17.55,33.14,16125.15,34.2,70.38,-6.02,-2.48
Mining,South America,India,2022,290.96,672.8,12.23,35.4,18.49,16.02,1158.73,4536.86,99.99,24.55,7.98,6.1
Manufacturing,Asia,India,2022,26.09,19.92,65.22,129.08,40.25,9.17,944.9,11792.85,96.11,75.21,4.12,6.47
Manufacturing,Africa,India,2022,15.86,611.99,88.53,39.94,27.36,19.18,825.3,4985.35,96.09,23.26,-7.2,9.28
Energy,Europe,India,2022,180.57,517.31,43.49,93.9,5.95,6.22,1281.52,22569.07,85.55,89.72,-0.6,4.26
Construction,North America,India,2022,262.09,675.3,90.38,50.68,10.63,8.25,398.91,4412.74,49.97,35.81,-0.23,3.49
